(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,206,4,4.00%,5.71%,287,4,4.24%,4.49%,100.00%,100.00%,51,3,24.76%,75.00%,"$1,171.98",$68.94,51,3
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,184,3,3.57%,4.29%,235,3,3.47%,3.37%,99.53%,100.00%,42,0,22.83%,0.00%,$839.16,$0.00,38,0
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,157,3,3.05%,4.29%,224,6,3.31%,6.74%,100.00%,100.00%,27,0,17.20%,0.00%,$458.46,$0.00,27,0
B0FG7QMV1Y,B0D7HMXCSP,"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle",UB-TA3P-4YBQ,118,2,2.29%,2.86%,170,2,2.51%,2.25%,100.00%,100.00%,26,1,22.03%,50.00%,$415.48,$15.98,26,1
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,156,3,3.03%,4.29%,277,4,4.09%,4.49%,100.00%,100.00%,26,2,16.67%,66.67%,$597.48,$45.96,26,2
B0DVZ28QXB,B0CQJZP6TK,"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass",FJ-K5JP-AWYT,86,0,1.67%,0.00%,118,0,1.74%,0.00%,99.09%,0.00%,30,0,34.88%,0.00%,$479.40,$0.00,25,0
B0F9W75LLW,B0CG8N67SJ,"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler",FQ-Q5JW-E8TK,156,1,3.03%,1.43%,225,1,3.32%,1.12%,100.00%,0.00%,23,0,14.74%,0.00%,$459.54,$0.00,23,0
B0FFGT9TWF,B0F13S4HSG,"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse",M7-LMCU-PTYK,200,2,3.88%,2.86%,251,2,3.71%,2.25%,100.00%,100.00%,21,0,10.50%,0.00%,$398.58,$0.00,19,0
B0FH6R5YTH,B0FC69XTZ9,"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card",B4-IRKZ-AKKE,54,1,1.05%,1.43%,77,2,1.14%,2.25%,100.00%,100.00%,18,0,33.33%,0.00%,$125.82,$0.00,18,0
B0DKDWHJ2P,B0CRVTN11L,"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass",Y1-7KOS-V5KR,96,1,1.86%,1.43%,122,1,1.80%,1.12%,99.11%,0.00%,17,0,17.71%,0.00%,$271.66,$0.00,16,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,82,1,1.59%,1.43%,106,1,1.57%,1.12%,100.00%,100.00%,18,1,21.95%,100.00%,$395.64,$21.98,16,1
B0D83GTKZK,B08R8R2LQF,"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler",JC-JMFX-W7IY,43,1,0.83%,1.43%,47,1,0.69%,1.12%,100.00%,0.00%,15,0,34.88%,0.00%,$344.70,$0.00,15,0
B0FHBBJ3JH,B0FC6FNMMD,"NewEleven Engagement Gifts For Couples - Happy Wedding Cards For Bride And Groom - Romantic Present, Congratulation Wedding Gifts From Friend, Family - Greeting Card",TU-XEZX-HS89,89,2,1.73%,2.86%,131,4,1.93%,4.49%,100.00%,0.00%,15,0,16.85%,0.00%,$104.85,$0.00,14,0
B0FFH2DPYK,B08R8PXYL6,"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler",ZG-6MPB-F5JV,51,1,0.99%,1.43%,61,1,0.90%,1.12%,98.25%,100.00%,13,0,25.49%,0.00%,$259.74,$0.00,13,0
B0FJDY1LNS,B08ZRWW1W4,"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler",A6-H1II-ZKFG,70,0,1.36%,0.00%,87,0,1.28%,0.00%,98.75%,0.00%,13,0,18.57%,0.00%,$298.74,$0.00,13,0
B0FD9QBGZH,B0DH7X6R1J,NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler,YJ-F5N3-DGJ5,83,0,1.61%,0.00%,103,0,1.52%,0.00%,100.00%,0.00%,13,0,15.66%,0.00%,$285.74,$0.00,13,0
B0FJXFZZV2,B0F18PVLJ1,"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler",WD-3UXP-TSPV,83,1,1.61%,1.43%,114,1,1.68%,1.12%,100.00%,100.00%,13,0,15.66%,0.00%,$298.74,$0.00,12,0
B0FCLHRJ36,B0FCLHRJ36,"NewEleven Birthday Gifts for Women - Thank You Present, Christian Gifts for Women, Mom, Teacher - Inspirational Gift for Coworker - Handmade Positive Sunflower Doll Crochet with Card",0M-ATAJ-MC5Y,121,3,2.35%,4.29%,192,3,2.83%,3.37%,100.00%,100.00%,13,0,10.74%,0.00%,$129.87,$0.00,12,0
B0FHKT7T9Q,B0F2TDMHFC,"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card",LT-01MF-LZ2N,41,0,0.80%,0.00%,45,0,0.66%,0.00%,100.00%,0.00%,10,0,24.39%,0.00%,$99.90,$0.00,10,0
B0FH6R5YTH,B0FC6158DB,"NewEleven Best Friends Gift - Heartfelt Message, Birthday Card For Friend - Best Friend Birthday Gifts For Women, Men, Meaningful Gift From Friends - Greeting Card",6B-3XRW-U6OQ,92,1,1.79%,1.43%,138,2,2.04%,2.25%,100.00%,0.00%,10,0,10.87%,0.00%,$79.90,$0.00,10,0
B0FG7PKPXP,B0CBJR253J,"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass",DM-ZO4D-MA58,32,0,0.62%,0.00%,48,0,0.71%,0.00%,100.00%,0.00%,12,0,37.50%,0.00%,$119.88,$0.00,9,0
B0DVYKZQJ5,B0CJ2CKDR8,"NewEleven Gifts For Godmother - Will You Be My Godmother From GodChild - Pregnancy Announcement Gifts For God Mother, Godmom, Godparents - 16 Oz Coffee Glass",SE-AHQ6-UUXA,31,0,0.60%,0.00%,45,0,0.66%,0.00%,100.00%,0.00%,9,0,29.03%,0.00%,$116.82,$0.00,9,0
B0FD9QBGZH,B0DH86X93V,"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Him, Her - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",Z0-L1YB-49DF,40,0,0.78%,0.00%,55,0,0.81%,0.00%,100.00%,0.00%,9,0,22.50%,0.00%,$179.82,$0.00,9,0
B0DYP51XSW,B09XXP5V2W,"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler",FL-GKXG-L8RH,64,2,1.24%,2.86%,81,2,1.20%,2.25%,100.00%,0.00%,8,0,12.50%,0.00%,$159.84,$0.00,8,0
B0FJDLVWD4,B0CY4MC1GJ,"NewEleven Gifts For Him - Fishing Gifts For Men, Dad, Fisherman, Father - Practical Gift, Dad Birthday Present, Men, Husband - 20 Oz Tumbler",YJ-23CQ-KDB5,43,1,0.83%,1.43%,55,1,0.81%,1.12%,97.96%,0.00%,8,0,18.60%,0.00%,$127.84,$0.00,8,0
B0F8QTMBRV,B0CYPT8HM7,"NewEleven 30th Birthday Gifts For Women - 30s Birthday Decorations - 30 Year Old Gifts For Her, Woman, Sister, Mom, Daughter, Best Friend - In My Thirties Era Glass - 16 Oz Coffee Glass",C9-FSMU-8JV2,34,0,0.66%,0.00%,44,0,0.65%,0.00%,100.00%,0.00%,8,0,23.53%,0.00%,$135.84,$0.00,8,0
B0DPKY9KZ1,B0D9L8P1XL,"NewEleven Gifts for Women Friendship - Funny Gift for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Candle",1G-WJN6-34JP,34,0,0.66%,0.00%,44,0,0.65%,0.00%,100.00%,0.00%,8,0,23.53%,0.00%,$143.84,$0.00,8,0
B0F8QTMBRV,B0DGGDN9WS,"NewEleven 30th Birthday Gifts For Her Women - 1995 30th Birthday Decorations For Woman - 30 Year Old Gifts Idea For Friends, Sister - 16 Oz Coffee Glass",SZ-GAM6-6BB0,59,0,1.15%,0.00%,82,0,1.21%,0.00%,100.00%,0.00%,8,0,13.56%,0.00%,$127.84,$0.00,8,0
B0FD9QBGZH,B0DHCGTL3R,"NewEleven 70th Birthday Gifts For Men Women - 1955 70th Birthday Decorations - Gifts For Men Women Turning 70-70 Year Old Gifts For Man, Woman - 20 Oz Tumbler",DF-AWOB-F9BG,41,0,0.80%,0.00%,52,0,0.77%,0.00%,100.00%,0.00%,8,0,19.51%,0.00%,$159.84,$0.00,8,0
B0FFGT9TWF,B0DVSKXLS5,"NewEleven Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse",UI-VXIT-1YW7,62,0,1.20%,0.00%,74,0,1.09%,0.00%,95.59%,0.00%,8,0,12.90%,0.00%,$135.84,$0.00,8,0
B0FH6R5YTH,B0FC69R4PK,"NewEleven Retirement Gift For Woman - Retirement Card For Women, Men, Boss - Funny Retirements Gifts For Men, Farewell Gifts For Coworkers From Work Bestie, Colleague - Greeting Card",A9-HSHI-ATQO,69,3,1.34%,4.29%,92,5,1.36%,5.62%,100.00%,100.00%,8,0,11.59%,0.00%,$47.92,$0.00,8,0
B0FHKT7T9Q,B0FC6CY15S,"NewEleven Cat Mom Gifts For Women - Cat Birthday Card, Funny Gift For Cat Lover, Cat Mom, Her - Cat Lover Gifts For Women From Friend, Family - Greeting Card",5P-CAQZ-6FK5,67,0,1.30%,0.00%,84,0,1.24%,0.00%,100.00%,0.00%,8,0,11.94%,0.00%,$47.92,$0.00,8,0
B0FFH2DPYK,B089QFYLFB,"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler",XH-ELQT-PEJ2,55,1,1.07%,1.43%,70,1,1.03%,1.12%,98.46%,0.00%,7,0,12.73%,0.00%,$139.86,$0.00,7,0
B0D8699Y17,B0BYCT1SRJ,"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass",LH-BSSY-KKX9,23,0,0.45%,0.00%,40,0,0.59%,0.00%,97.22%,0.00%,16,0,69.57%,0.00%,$255.68,$0.00,7,0
B0F9W75LLW,B0CM5RJ8VD,"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Kids - Husband Gift - Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler",1J-71GS-RJFC,34,0,0.66%,0.00%,47,0,0.69%,0.00%,100.00%,0.00%,7,0,20.59%,0.00%,$139.86,$0.00,7,0
