"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"37";"";"739,26";"";"-122";"-117,25";"";"";"-4,75";"";"";"";"-";"";"-275,31";"-121,73";"";"220,22";"220,22";"341,95";"";"29,79";"180,91";"3 319";"16,50";"";""
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"37";"3";"850,26";"";"-113,12";"-108,21";"";"";"-4,91";"";"";"8,11";"-";"-59,82";"-307,9";"-72,52";"";"296,90";"296,90";"369,42";"";"34,92";"409,40";"8 028";"13,30";"";""
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"26";"";"597,48";"";"-157,69";"-157,69";"";"";"";"";"";"";"-";"";"-216,38";"-91";"";"132,41";"132,41";"223,41";"";"22,16";"145,51";"10 613";"26,39";"";""
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 17,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"24";"";"431,52";"";"-84,69";"-79,93";"";"";"-4,76";"";"";"";"-";"";"-189,02";"-47,76";"";"110,05";"110,05";"157,81";"";"25,50";"230,42";"9 710";"19,63";"";""
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"23";"1";"505,56";"";"-75,16";"-75,16";"";"";"";"";"";"4,35";"-";"-19,94";"-228,23";"-103,04";"";"79,19";"79,19";"182,23";"";"15,66";"76,85";"16 102";"14,87";"";""
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"16";"";"255,68";"";"";"";"";"";"";"";"";"";"-";"";"-121,78";"-79,84";"";"54,06";"54,06";"133,9";"";"21,14";"67,71";"73 540";"";"";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"15";"";"299,7";"-3";"-52,3";"-52,3";"";"";"";"";"";"";"-";"";"-97,19";"-53,4";"";"93,81";"93,81";"147,21";"";"31,30";"175,67";"6 791";"17,45";"";""
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98";"B089QFYLFB";"XH-ELQT-PEJ2";"12";"";"203,76";"";"-33,6";"-33,6";"";"";"";"";"";"";"-";"";"-83,62";"-40,68";"";"45,86";"45,86";"86,54";"";"22,51";"112,73";"10 352";"16,49";"";""
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"12";"";"191,76";"";"-34,1";"-34,1";"";"";"";"";"";"";"-";"";"-82,73";"-33,6";"";"41,33";"41,33";"74,93";"";"21,55";"123,01";"11 404";"17,78";"";""
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"12";"";"227,76";"";"-39,45";"-39,45";"";"";"";"";"";"";"-";"";"-87,38";"-31,08";"";"69,85";"69,85";"100,93";"";"30,67";"224,74";"16 967";"17,32";"";""
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card COG: 0,46 / Price: 9,99";"B0F2TDMHFC";"LT-01MF-LZ2N";"12";"";"119,88";"";"-21,66";"-21,66";"";"";"";"";"";"";"-";"";"-47,28";"-5,52";"";"45,42";"45,42";"50,94";"";"37,89";"822,83";"12 614";"18,07";"";""
